Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
educal,educational,ages or different social and ***mask*** backgrounds this people do not,EH JH AH K AH L,"['epochal', 'oedipal', 'ethical', 'educate', 'oracle', 'edible', 'etiquette', 'chuckle', 'jekyll', 'juggle']",['ducal'],"['oracle', 'chuckle', 'etiquette', 'jekyll', 'epochal', 'ethical', 'educate', 'ducal', 'juggle', 'edible', 'oedipal']","['ethical', 'educate', 'etiquette', 'epochal', 'edible', 'oedipal', 'chuckle', 'jekyll', 'juggle', 'oracle']",['ducal'],"['ethical', 'educate', 'etiquette', 'epochal', 'edible', 'oedipal', 'chuckle', 'ducal', 'jekyll', 'juggle', 'oracle']"
mediadesign,media design,at the moment i studying ***mask*** in berlin for that reason,M IY D IY AH D EH Z IH G N,[''],['mediadesign'],['mediadesign'],[''],['mediadesign'],['mediadesign']
scaple,scalpel,it the old way with ***mask*** blade incisions and sutures afterwards,S K EY P AH L,"['staple', 'scruple', 'stapler', 'scuffle', 'steeple', 'stable', 'scuttle', 'skittle', 'spatial', 'spacial']","['staple', 'scape', 'scale']","['spatial', 'stapler', 'scruple', 'scuffle', 'skittle', 'scuttle', 'scape', 'scale', 'staple', 'spacial', 'steeple', 'stable']","['steeple', 'stapler', 'staple', 'stable', 'spacial', 'skittle', 'spatial', 'scruple', 'scuffle', 'scuttle']","['staple', 'scale', 'scape']","['steeple', 'stapler', 'staple', 'scale', 'stable', 'spacial', 'skittle', 'spatial', 'scruple', 'scuffle', 'scape', 'scuttle']"
performes,performs ,example let say a veterinarian ***mask*** surgery on a dog the,P ER F AO R M Z,"['performs', 'performed', 'performer', 'perform', 'performers', 'reforms', 'reforms', 'performing', 'perforce', 'informs']","['performer', 'performers', 'performs', 'performed']","['reforms', 'performers', 'performer', 'perforce', 'performed', 'performing', 'performs', 'perform', 'informs']","['performs', 'performed', 'performing', 'perform', 'performer', 'performers', 'perforce', 'reforms', 'informs']","['performs', 'performed', 'performer', 'performers']","['performs', 'performed', 'performing', 'perform', 'performer', 'performers', 'perforce', 'reforms', 'informs']"
accomlishing,accomplishing,trust your own ways of ***mask*** things especially if you know,AH K AA M L IH SH IH NG,"['accomplishing', 'abolishing', 'accomplishes']",['accomplishing'],"['accomplishing', 'abolishing', 'accomplishes']","['accomplishing', 'accomplishes', 'abolishing']",['accomplishing'],"['accomplishing', 'accomplishes', 'abolishing']"
afterall,after all,way you will do well ***mask*** and to stress my disagreement,AE F T ER AA L,"['atoll', 'afterthought', 'aftershock', 'afterglow', 'lateral', 'rafters', 'afterlife', 'after']",['after all'],"['afterthought', 'rafters', 'lateral', 'aftershock', 'atoll', 'afterlife', 'after all', 'afterglow', 'after']","['afterthought', 'aftershock', 'afterglow', 'after', 'lateral', 'afterlife', 'rafters', 'atoll']",['after all'],"['afterthought', 'afterglow', 'after all', 'aftershock', 'after', 'afterlife', 'rafters', 'atoll', 'lateral']"
scapel,scalpel,a dog the way with ***mask*** blade and other devices it,S K AE P AH L,"['snapple', 'scrabble', 'scruple', 'scuffle', 'scalpel', 'spackle', 'skittle', 'scuttle', 'staple', 'steeple']","['scalpel', 'scape', 'capel']","['scruple', 'scuffle', 'snapple', 'spackle', 'skittle', 'scape', 'capel', 'scalpel', 'scrabble', 'staple', 'steeple', 'scuttle']","['scalpel', 'staple', 'snapple', 'steeple', 'skittle', 'scruple', 'scuffle', 'scrabble', 'scuttle', 'spackle']","['scalpel', 'capel', 'scape']","['scalpel', 'staple', 'snapple', 'steeple', 'skittle', 'capel', 'scruple', 'scuffle', 'scuttle', 'scape', 'scrabble', 'spackle']"
communitie,communities,getting money but the whole ***mask*** has its part of it,K AH M Y UW N IH T IY,"['community', 'community', 'communities', 'immunity', 'communities', 'communing', 'impunity']",['communities'],"['immunity', 'community', 'communities', 'communing', 'impunity']","['community', 'communities', 'communing', 'impunity', 'immunity']",['communities'],"['community', 'communities', 'communing', 'impunity', 'immunity']"
sportevent,sport event,much to expensive take an ***mask*** its not able to make,S P AO R T IH V EH N T,[''],['sportevent'],['sportevent'],[''],['sportevent'],['sportevent']
streetworker,streetwalker,it a save area the ***mask*** also help as a big,S T R IY T W ER K ER,['steelworker'],['steelworker'],['steelworker'],['steelworker'],['steelworker'],['steelworker']
