Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
educal,educational,not much connected with or related to people form different ages or different social and ***mask*** backgrounds this people do not even think about helping their communities but that is not,EH JH AH K AH L,"['epochal', 'oedipal', 'ethical', 'educate', 'oracle', 'edible', 'etiquette', 'chuckle', 'jekyll', 'juggle']",['ducal'],"['oracle', 'chuckle', 'etiquette', 'jekyll', 'epochal', 'ethical', 'educate', 'ducal', 'juggle', 'edible', 'oedipal']","['ethical', 'educate', 'etiquette', 'edible', 'epochal', 'oedipal', 'jekyll', 'chuckle', 'juggle', 'oracle']",['ducal'],"['ethical', 'educate', 'etiquette', 'edible', 'epochal', 'oedipal', 'jekyll', 'chuckle', 'ducal', 'juggle', 'oracle']"
mediadesign,media design,it absolutly ok but maybe i have to say this at the moment i studying ***mask*** in berlin for that reason i have to learn and develop ways to make products,M IY D IY AH D EH Z IH G N,[''],['mediadesign'],['mediadesign'],[''],['mediadesign'],['mediadesign']
scaple,scalpel,there is also a very high chance of infections doing it the old way with ***mask*** blade incisions and sutures afterwards is taking a little longer of course but is more,S K EY P AH L,"['staple', 'scruple', 'stapler', 'scuffle', 'steeple', 'stable', 'scuttle', 'skittle', 'spatial', 'spacial']","['staple', 'scape', 'scale']","['spatial', 'stapler', 'scruple', 'scuffle', 'skittle', 'scuttle', 'scape', 'scale', 'staple', 'spacial', 'steeple', 'stable']","['stapler', 'staple', 'steeple', 'stable', 'skittle', 'spacial', 'scruple', 'scuffle', 'scuttle', 'spatial']","['staple', 'scale', 'scape']","['stapler', 'staple', 'steeple', 'stable', 'scale', 'skittle', 'spacial', 'scruple', 'scuffle', 'scape', 'scuttle', 'spatial']"
performes,performs ,to manifest my opinion i want to give you an example let say a veterinarian ***mask*** surgery on a dog the way with scapel blade and other devices it has always,P ER F AO R M Z,"['performs', 'performed', 'performer', 'perform', 'performers', 'reforms', 'reforms', 'performing', 'perforce', 'informs']","['performer', 'performers', 'performs', 'performed']","['reforms', 'performers', 'performer', 'perforce', 'performed', 'performing', 'performs', 'perform', 'informs']","['performs', 'performed', 'performing', 'perform', 'performers', 'performer', 'reforms', 'informs', 'perforce']","['performs', 'performed', 'performers', 'performer']","['performs', 'performed', 'performing', 'perform', 'performers', 'performer', 'reforms', 'informs', 'perforce']"
accomlishing,accomplishing,and technologies are rising steadily but you also have to trust your own ways of ***mask*** things especially if you know how to manifest my opinion i want to give you,AH K AA M L IH SH IH NG,"['accomplishing', 'abolishing', 'accomplishes']",['accomplishing'],"['accomplishing', 'abolishing', 'accomplishes']","['accomplishing', 'accomplishes', 'abolishing']",['accomplishing'],"['accomplishing', 'accomplishes', 'abolishing']"
afterall,after all,it the right way and by doing it the right way you will do well ***mask*** and to stress my disagreement with the above statement i going to write my favorite,AE F T ER AA L,"['atoll', 'afterthought', 'aftershock', 'afterglow', 'lateral', 'rafters', 'afterlife', 'after']",['after all'],"['afterthought', 'rafters', 'lateral', 'aftershock', 'atoll', 'afterlife', 'after all', 'afterglow', 'after']","['afterthought', 'aftershock', 'afterglow', 'after', 'afterlife', 'lateral', 'atoll', 'rafters']",['after all'],"['after all', 'afterthought', 'afterglow', 'aftershock', 'after', 'afterlife', 'rafters', 'lateral', 'atoll']"
scapel,scalpel,you an example let say a veterinarian performes surgery on a dog the way with ***mask*** blade and other devices it has always been like this and the successful outcome and,S K AE P AH L,"['snapple', 'scrabble', 'scruple', 'scuffle', 'scalpel', 'spackle', 'skittle', 'scuttle', 'staple', 'steeple']","['scalpel', 'scape', 'capel']","['scruple', 'scuffle', 'snapple', 'spackle', 'skittle', 'scape', 'capel', 'scalpel', 'scrabble', 'staple', 'steeple', 'scuttle']","['scalpel', 'skittle', 'staple', 'snapple', 'scruple', 'scuffle', 'scrabble', 'scuttle', 'steeple', 'spackle']","['scalpel', 'scape', 'capel']","['scalpel', 'skittle', 'staple', 'snapple', 'scruple', 'scuffle', 'scuttle', 'scape', 'scrabble', 'steeple', 'spackle', 'capel']"
communitie,communities,young people help for exsample orchestra they play music without getting money but the whole ***mask*** has its part of it happy people and street festivals what about emergency there are,K AH M Y UW N IH T IY,"['community', 'community', 'communities', 'immunity', 'communities', 'communing', 'impunity']",['communities'],"['immunity', 'community', 'communities', 'communing', 'impunity']","['community', 'communities', 'communing', 'immunity', 'impunity']",['communities'],"['community', 'communities', 'communing', 'immunity', 'impunity']"
sportevent,sport event,like emergencies employed by the communities get this would be much to expensive take an ***mask*** its not able to make it a good one if you do have people outside,S P AO R T IH V EH N T,[''],['sportevent'],['sportevent'],[''],['sportevent'],['sportevent']
streetworker,streetwalker,the police who has to follow communities opinion by having it a save area the ***mask*** also help as a big part of the system there are also many other things,S T R IY T W ER K ER,['steelworker'],['steelworker'],['steelworker'],['steelworker'],['steelworker'],['steelworker']
exsample,example,part of the system there are also many other things were young people help for ***mask*** orchestra they play music without getting money but the whole communitie has its part of,IH K S AE M P AH L,"['example', 'sampled', 'sample']",['example'],"['sampled', 'example', 'sample']","['example', 'sample', 'sampled']",['example'],"['example', 'sample', 'sampled']"
dwhich,which,there communities there are many jobs in the communities which are not really paid an ***mask*** are done from young people for example streetworkers or some people who work in youthclubs,D AH W IH CH,"['twitch', 'bewitch', 'dewitt', 'switch', 'switcher', 'dovish', 'which', 'dulling', 'duckies', 'dunning']",['which'],"['dunning', 'dewitt', 'switcher', 'switch', 'dovish', 'duckies', 'bewitch', 'dulling', 'which', 'twitch']","['which', 'dovish', 'bewitch', 'switcher', 'switch', 'dunning', 'twitch', 'dewitt', 'dulling', 'duckies']",['which'],"['which', 'dovish', 'bewitch', 'switcher', 'switch', 'dunning', 'twitch', 'dewitt', 'dulling', 'duckies']"
streetworkers,streetwalkers,communities which are not really paid an dwhich are done from young people for example ***mask*** or some people who work in youthclubs they do a lot of work for kids,S T R IY T W ER K ER Z,['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers']
youthclubs,youth clubs,dwhich are done from young people for example streetworkers or some people who work in ***mask*** they do a lot of work for kids which do not know how to spend,Y UW TH K L AH B Z,[''],['youthclubs'],['youthclubs'],[''],['youthclubs'],['youthclubs']
enitrely,entirely,stressful on the other hand the young person would probably call the older persons life ***mask*** boring the only difference is that most of the young people enjoy their lives at,EH N IH T R AH L IY,"['entropy', 'entrails', 'centrally', 'literally', 'neutrally', 'mentally']",['entirely'],"['entirely', 'entropy', 'mentally', 'centrally', 'literally', 'neutrally', 'entrails']","['literally', 'mentally', 'centrally', 'entrails', 'neutrally', 'entropy']",['entirely'],"['entirely', 'literally', 'mentally', 'centrally', 'entrails', 'neutrally', 'entropy']"
economised,economise,other values we do not want to miss as our relationships get more and more ***mask*** it is very important to remember that not everybody is good enough to get money,IH K AA N AH M AY Z D,"['economize', 'economizing', 'economize', 'economies', 'minimized']",['economise'],"['economies', 'economize', 'economise', 'minimized', 'economizing']","['minimized', 'economies', 'economize', 'economizing']",['economise'],"['minimized', 'economies', 'economizing', 'economize', 'economise']"
